Cust_ID,Customer_name,DOB,Gender,Flat-bldg,Address,Emailid,City,country,Zip,Mobile,Gender,pb_ind,int_cust_risk_rtng,domicile_cntry_cd,domicile_state
141364719,Bhuvana kumar,03-05-1987,M,442,"Nguyen The Minh Khai, District 3, HCMC",bhuvana719@gmail.com,Bangalore,India,560001,7042177739,M,Y,4+,India,KA
126371812,RUDRA DEV PANDA,03-04-1995,M,170,"Hai Ba Trung, Da Kao ward, District 1, HCMC",rudra d812@gmail.com,Mysore,India,460010,7042192624,M,Y,5+,India,KA
138866815,Abhijat,06-11-1988,F,15,Mukta residency near dnyshwar nagar jule solapur,abhijat815@gmail.com,mysore,India,460011,7042241680,F,N,2+,India,KA
114272974,Jayant Sharma,03-03-1987,M,3-333/2,"ramireddy peta, narasarao peta",jayant 974@gmail.com,Delhi,India,360027,7042288401,M,Y,4-,India,DL
119436395,Ankur pandey,05-11-1998,F,105,"Floors 1st & 5th , Corner Stone Building, 16 Phan Chu Trinh, Hoan Kiem, Hanoi",ankur p395@gmail.com,Delhi,India,360001,7042373732,F,N,3+,India,DL
117261665,NOOPUR CHHAPARIYA,24-10-1982,M,205,Pahanmala Shirur Tal-Shirur Dist-Pune ,noopur 665@gmail.com,Delhi,India,360010,7042436225,M,N,2-,India,DL
137589176,Pramod Kumar Gond,28-10-1988,F,456,"Sharma boys hostel ,Navi Peth ,Sadashiv peth ,Pune  ",pramod 176@gmail.com,Hyderabad,India,160002,7042584850,F,Y,5-,India,AP
139919866,Pooja Tewari,21-10-1983,M,112-114-116-118,"Hai Ba Trung Street, Da Kao ward, District 1, HCMC",pooja t866@gmail.com,Ghaziabad,India,260011,7042643300,M,N,4+,India,MP
120698115,Noor Alam,04-10-1980,M,117,"Quang Trung, Vinh, Nghe An",noor al115@gmail.com,Trivandrum,India,760050,7042717847,M,N,3+,India,AP
141558864,Anil Kumar Verma,18-11-1981,F,8,jk residency behind vrush h traders kabnoor ichlakaranji,anil ku864@gmail.com,kannur,India,860078,7042748776,F,N,5+,India,AP
109379030,ABHISHEK KULSHRESTHA,04-10-1982,M,97,Rk heights near wakad flyover pune,abhishe030@gmail.com,Kolkata,India,210001,7042802955,M,N,3-,India,MH
123046319,KUMUD RANJAN,28-12-1991,F,2,"Nguyen Thi Minh Khai, Da Kao ward, District 1, HCMC",kumud r319@gmail.com,Chennai,India,220030,7042905367,F,Y,1+,India,TN
139845466,Gautam Mehta,01-01-1992,M,22,"Ngo Quyen, Hoan Kiem, Hanoi",gautam 466@gmail.com,kottayam,India,430011,7042983356,M,Y,2-,India,GJ
115459797,ARUN KUMAR,02-06-1993,M,130,"Phan Da Luu, Phu Nhuan District, HCMC",arun ku797@gmail.com,Mumbai,India,556001,7053005452,M,N,5-,India,MH
135275296,Abdul Ansari,14-03-1982,F,25,"Tran Hung Dao, Hoan Kiem, Hanoi",abdul a296@gmail.com,Aurangabad,India,560038,7053029927,F,Y,4+,India,MH
